"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 03 22:33:25 GMT 2021","Sun Jan 03 22:33:26 GMT 2021","1045","test","registration_tests","","","","Register With Existing Profile",""
"passed","Sun Jan 03 22:33:23 GMT 2021","Sun Jan 03 22:33:24 GMT 2021","1152","test","login_tests","","","","test_should_login[chromium]",""
"passed","Sun Jan 03 22:33:26 GMT 2021","Sun Jan 03 22:33:27 GMT 2021","1164","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 22:33:24 GMT 2021","Sun Jan 03 22:33:25 GMT 2021","1222","test","registration_tests","","","","Register With new User",""
"passed","Sun Jan 03 22:33:34 GMT 2021","Sun Jan 03 22:33:35 GMT 2021","1046","test","article_tests","","","","test_should_create_post[chromium]",""
"passed","Sun Jan 03 22:33:35 GMT 2021","Sun Jan 03 22:33:36 GMT 2021","1011","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 22:33:29 GMT 2021","Sun Jan 03 22:33:30 GMT 2021","989","test","article_tests","","","","Publish Article Flow from MainPage",""
"passed","Sun Jan 03 22:33:31 GMT 2021","Sun Jan 03 22:33:32 GMT 2021","922","test","article_tests","","","","Publish Article Flow from ArticlePage",""
"passed","Sun Jan 03 22:33:19 GMT 2021","Sun Jan 03 22:33:19 GMT 2021","911","test","login_tests","","","","Login With Invalid Credentials",""
"passed","Sun Jan 03 22:33:36 GMT 2021","Sun Jan 03 22:33:37 GMT 2021","1012","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 22:33:16 GMT 2021","Sun Jan 03 22:33:18 GMT 2021","1597","test","login_tests","","","","Login With Valid Credentials",""
"passed","Sun Jan 03 22:33:20 GMT 2021","Sun Jan 03 22:33:21 GMT 2021","1166","test","login_tests","","","","Logout from System",""
